,timestamp,Humidity,Temperature,Motion,AmbianceLevel,AmbianceType
111,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
112,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
113,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
114,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
115,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
116,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
117,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
118,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
119,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
120,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
121,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
122,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
123,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
124,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
125,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
126,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
127,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
128,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
129,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
130,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
131,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
132,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
133,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
134,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
135,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
136,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
137,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
138,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
139,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
140,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
141,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
142,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
143,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
144,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
145,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
146,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
147,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
148,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
149,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
150,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
151,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
152,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
153,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
154,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
155,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
156,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
157,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
158,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
159,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
160,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
161,Thu Feb 25 22:21:50 2021,61.0,21.0,1,50,1
162,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
163,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
164,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
165,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
166,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
167,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
168,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
169,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
170,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
171,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
172,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
173,Thu Feb 25 22:21:51 2021,61.0,21.0,1,50,1
