,timestamp,Humidity,Temperature,Motion
146,Tue Feb 23 12:59:46 2021,70.0,22.0,0
147,Tue Feb 23 12:59:46 2021,70.0,22.0,0
148,Tue Feb 23 12:59:46 2021,70.0,22.0,0
149,Tue Feb 23 12:59:46 2021,70.0,22.0,0
150,Tue Feb 23 12:59:46 2021,70.0,22.0,0
151,Tue Feb 23 12:59:46 2021,70.0,22.0,0
152,Tue Feb 23 12:59:46 2021,70.0,22.0,0
153,Tue Feb 23 12:59:46 2021,70.0,22.0,0
154,Tue Feb 23 12:59:46 2021,70.0,22.0,0
155,Tue Feb 23 12:59:46 2021,70.0,22.0,0
156,Tue Feb 23 12:59:46 2021,70.0,22.0,0
157,Tue Feb 23 12:59:46 2021,70.0,22.0,0
158,Tue Feb 23 12:59:46 2021,70.0,22.0,0
159,Tue Feb 23 12:59:46 2021,70.0,22.0,0
160,Tue Feb 23 12:59:46 2021,70.0,22.0,0
161,Tue Feb 23 12:59:46 2021,70.0,22.0,0
162,Tue Feb 23 12:59:46 2021,70.0,22.0,0
163,Tue Feb 23 12:59:46 2021,70.0,22.0,0
164,Tue Feb 23 12:59:46 2021,70.0,22.0,0
165,Tue Feb 23 12:59:46 2021,70.0,22.0,0
166,Tue Feb 23 12:59:46 2021,70.0,22.0,0
167,Tue Feb 23 12:59:46 2021,70.0,22.0,0
168,Tue Feb 23 12:59:46 2021,70.0,22.0,0
169,Tue Feb 23 12:59:46 2021,70.0,22.0,0
170,Tue Feb 23 12:59:46 2021,70.0,22.0,0
171,Tue Feb 23 12:59:47 2021,70.0,22.0,0
172,Tue Feb 23 12:59:47 2021,70.0,22.0,0
173,Tue Feb 23 12:59:47 2021,70.0,22.0,0
174,Tue Feb 23 12:59:47 2021,70.0,22.0,0
175,Tue Feb 23 12:59:47 2021,161.0,11.0,0
176,Tue Feb 23 12:59:47 2021,161.0,11.0,0
177,Tue Feb 23 12:59:47 2021,161.0,11.0,0
178,Tue Feb 23 12:59:47 2021,161.0,11.0,0
179,Tue Feb 23 12:59:47 2021,161.0,11.0,0
180,Tue Feb 23 12:59:47 2021,161.0,11.0,0
181,Tue Feb 23 12:59:47 2021,161.0,11.0,0
182,Tue Feb 23 12:59:47 2021,161.0,11.0,0
183,Tue Feb 23 12:59:47 2021,161.0,11.0,0
184,Tue Feb 23 12:59:47 2021,161.0,11.0,0
185,Tue Feb 23 12:59:47 2021,161.0,11.0,0
186,Tue Feb 23 12:59:47 2021,161.0,11.0,0
187,Tue Feb 23 12:59:47 2021,161.0,11.0,0
188,Tue Feb 23 12:59:47 2021,161.0,11.0,0
189,Tue Feb 23 12:59:47 2021,161.0,11.0,0
190,Tue Feb 23 12:59:47 2021,161.0,11.0,0
191,Tue Feb 23 12:59:47 2021,161.0,11.0,0
192,Tue Feb 23 12:59:47 2021,161.0,11.0,0
193,Tue Feb 23 12:59:47 2021,161.0,11.0,0
194,Tue Feb 23 12:59:47 2021,161.0,11.0,0
195,Tue Feb 23 12:59:47 2021,161.0,11.0,0
196,Tue Feb 23 12:59:47 2021,161.0,11.0,0
197,Tue Feb 23 12:59:47 2021,161.0,11.0,0
198,Tue Feb 23 12:59:47 2021,161.0,11.0,0
199,Tue Feb 23 12:59:47 2021,161.0,11.0,0
200,Tue Feb 23 12:59:47 2021,161.0,11.0,0
201,Tue Feb 23 12:59:47 2021,161.0,11.0,0
202,Tue Feb 23 12:59:47 2021,161.0,11.0,0
203,Tue Feb 23 12:59:47 2021,161.0,11.0,0
204,Tue Feb 23 12:59:47 2021,161.0,11.0,0
205,Tue Feb 23 12:59:47 2021,161.0,11.0,0
206,Tue Feb 23 12:59:47 2021,161.0,11.0,0
207,Tue Feb 23 12:59:47 2021,161.0,11.0,0
208,Tue Feb 23 12:59:47 2021,161.0,11.0,0
209,Tue Feb 23 12:59:47 2021,161.0,11.0,0
210,Tue Feb 23 12:59:47 2021,161.0,11.0,0
211,Tue Feb 23 12:59:47 2021,161.0,11.0,0
212,Tue Feb 23 12:59:47 2021,161.0,11.0,0
213,Tue Feb 23 12:59:47 2021,161.0,11.0,0
214,Tue Feb 23 12:59:47 2021,161.0,11.0,0
215,Tue Feb 23 12:59:47 2021,161.0,11.0,0
216,Tue Feb 23 12:59:47 2021,161.0,11.0,0
217,Tue Feb 23 12:59:47 2021,161.0,11.0,0
218,Tue Feb 23 12:59:47 2021,161.0,11.0,0
219,Tue Feb 23 12:59:47 2021,161.0,11.0,0
220,Tue Feb 23 12:59:47 2021,161.0,11.0,0
221,Tue Feb 23 12:59:47 2021,161.0,11.0,0
222,Tue Feb 23 12:59:47 2021,161.0,11.0,0
223,Tue Feb 23 12:59:47 2021,161.0,11.0,0
224,Tue Feb 23 12:59:47 2021,161.0,11.0,0
225,Tue Feb 23 12:59:47 2021,161.0,11.0,0
226,Tue Feb 23 12:59:47 2021,161.0,11.0,0
227,Tue Feb 23 12:59:47 2021,161.0,11.0,0
228,Tue Feb 23 12:59:47 2021,161.0,11.0,0
229,Tue Feb 23 12:59:47 2021,161.0,11.0,0
230,Tue Feb 23 12:59:47 2021,161.0,11.0,0
231,Tue Feb 23 12:59:47 2021,161.0,11.0,0
232,Tue Feb 23 12:59:48 2021,161.0,11.0,0
233,Tue Feb 23 12:59:48 2021,161.0,11.0,0
234,Tue Feb 23 12:59:48 2021,161.0,11.0,0
235,Tue Feb 23 12:59:48 2021,161.0,11.0,0
236,Tue Feb 23 12:59:48 2021,161.0,11.0,0
237,Tue Feb 23 12:59:48 2021,161.0,11.0,0
238,Tue Feb 23 12:59:48 2021,161.0,11.0,0
239,Tue Feb 23 12:59:48 2021,161.0,11.0,0
240,Tue Feb 23 12:59:48 2021,161.0,11.0,0
241,Tue Feb 23 12:59:48 2021,161.0,11.0,0
242,Tue Feb 23 12:59:48 2021,161.0,11.0,0
243,Tue Feb 23 12:59:48 2021,161.0,11.0,0
244,Tue Feb 23 12:59:48 2021,161.0,11.0,0
245,Tue Feb 23 12:59:48 2021,161.0,11.0,0
246,Tue Feb 23 12:59:48 2021,161.0,11.0,0
247,Tue Feb 23 12:59:48 2021,161.0,11.0,0
248,Tue Feb 23 12:59:48 2021,161.0,11.0,0
249,Tue Feb 23 12:59:48 2021,161.0,11.0,0
250,Tue Feb 23 12:59:48 2021,161.0,11.0,0
251,Tue Feb 23 12:59:48 2021,161.0,11.0,0
252,Tue Feb 23 12:59:48 2021,161.0,11.0,0
253,Tue Feb 23 12:59:48 2021,161.0,11.0,0
254,Tue Feb 23 12:59:48 2021,161.0,11.0,0
255,Tue Feb 23 12:59:48 2021,161.0,11.0,0
256,Tue Feb 23 12:59:48 2021,161.0,11.0,0
257,Tue Feb 23 12:59:48 2021,161.0,11.0,0
258,Tue Feb 23 12:59:48 2021,161.0,11.0,0
259,Tue Feb 23 12:59:48 2021,161.0,11.0,0
260,Tue Feb 23 12:59:48 2021,161.0,11.0,0
261,Tue Feb 23 12:59:48 2021,161.0,11.0,0
262,Tue Feb 23 12:59:48 2021,161.0,11.0,0
263,Tue Feb 23 12:59:48 2021,161.0,11.0,0
264,Tue Feb 23 12:59:48 2021,161.0,11.0,0
265,Tue Feb 23 12:59:48 2021,161.0,11.0,0
266,Tue Feb 23 12:59:48 2021,161.0,11.0,0
267,Tue Feb 23 12:59:48 2021,161.0,11.0,0
268,Tue Feb 23 12:59:48 2021,161.0,11.0,0
269,Tue Feb 23 12:59:48 2021,161.0,11.0,0
270,Tue Feb 23 12:59:48 2021,161.0,11.0,0
271,Tue Feb 23 12:59:48 2021,161.0,11.0,0
272,Tue Feb 23 12:59:48 2021,161.0,11.0,0
273,Tue Feb 23 12:59:48 2021,161.0,11.0,0
274,Tue Feb 23 12:59:48 2021,161.0,11.0,0
275,Tue Feb 23 12:59:48 2021,161.0,11.0,0
276,Tue Feb 23 12:59:48 2021,161.0,11.0,0
277,Tue Feb 23 12:59:48 2021,161.0,11.0,0
278,Tue Feb 23 12:59:48 2021,161.0,11.0,0
279,Tue Feb 23 12:59:48 2021,161.0,11.0,0
280,Tue Feb 23 12:59:48 2021,161.0,11.0,0
281,Tue Feb 23 12:59:48 2021,161.0,11.0,0
282,Tue Feb 23 12:59:48 2021,161.0,11.0,0
283,Tue Feb 23 12:59:48 2021,161.0,11.0,0
284,Tue Feb 23 12:59:48 2021,161.0,11.0,0
285,Tue Feb 23 12:59:48 2021,161.0,11.0,0
286,Tue Feb 23 12:59:48 2021,161.0,11.0,0
287,Tue Feb 23 12:59:48 2021,161.0,11.0,0
